Filename,Formula,Density,DeltaH,Velocity,Pressure,Temperature,Volume,H50,H
confmin1m100,C4H6N8O3,1.6591340780000001,109.45923179708149,7031.674361587268,20.858861195196212,3908.4190085181053,732.2235911980749,-1.578743577540365,2861836.6023239465
confmin1m101,C4H3N7O5,1.718985472,98.90384536713417,7720.610967889021,25.710440146103586,5027.040992110081,659.9435067407643,1.093333333333336,3317563.0608626977
confmin1m103,C4H1N9O9,1.8330692899999999,116.66824083470215,8556.94452950429,32.83359633094493,5681.479432585577,649.3147535718892,0.6007032258064519,3689068.4176930613
confmin1m105,C4H7N9O3,1.6600327719999999,118.93542008609799,7080.533920255359,21.15699949678956,3687.1096419425253,781.9970319023372,-1.577137506079282,2883308.796297544
confmin1m107,C4H4N8O5,1.699083512,103.88082520040476,7652.114574532765,25.07433756656195,4831.671379825012,688.1715919817524,-1.322959343255718,3325018.985386849
confmin1m108,C4H3N9O7,1.784481746,116.69015016222127,8271.893669985291,30.194517728108096,5407.0562867210365,677.9128253912387,0.6320112903225805,3665512.8043805175
confmin1m109,C4H5N7O3,1.654815084,102.5212207833435,7007.828982875003,20.68341621604902,4053.7424105495334,703.0667772825065,-0.7877951652965578,2850051.6125184796
confmin1m11,C4H5N7O3,1.629011506,100.4965668665376,6928.880182673929,20.01825877291474,4043.574789660244,703.0667772825065,-1.550489038787191,2842903.0960672167
confmin1m111,C4H4N8O5,1.7139503100000002,107.95217161676146,7704.838014212719,25.559049510781747,4848.34867139891,688.1715919817524,0.5066838709677417,3336495.823679202
confmin1m112,C4H2N8O7,1.7823566380000002,109.75923735144364,8278.21234384189,30.218954951212837,5594.743193638231,653.7567225307622,0.9704048387096776,3657600.973674219
confmin1m113,C4H3N7O5,1.7113596679999998,96.1659839662011,7692.3708344834895,25.452525506690705,5015.091032590143,659.9435067407643,-1.5713467165223278,3309676.7626716997
confmin1m114,C4H2N8O7,1.797708274,108.32377696165307,8326.068741313888,30.7273642535133,5589.506352717455,653.7567225307622,0.6302032258064512,3654177.353717438
confmin1m117,C4H4N6O3,1.662214916,96.29198129272778,7010.961376740677,20.760526132104914,4226.6180754052875,669.1544147679774,-1.5638359309483576,2828260.14469558
confmin1m118,C4H3N7O5,1.731865454,102.00361192317848,7765.792235807373,26.13226380030713,5040.570561157426,659.9435067407643,0.26639999999999997,3326491.812104494
confmin1m121,C4H4N8O5,1.73418861,110.65543435836085,7772.06498512567,26.196078728059856,4859.42193717688,688.1715919817524,2.019378048780489,3344116.130618065
confmin1m122,C4H6N8O3,1.66435003,112.23090535146969,7052.604695847149,21.024945616133774,3921.3621513260077,732.2235911980749,0.15502222222222256,2871313.8768321383
confmin1m124,C4H2N8O7,1.78884074,115.48852346934974,8306.989477038242,30.496030595455217,5615.6447526101665,653.7567225307622,1.2486666666666653,3671265.5083634956
confmin1m125,C4H5N7O3,1.649071088,104.09988143868716,6994.638969547955,20.5601530778647,4061.670295371298,703.0667772825065,0.2519111111111112,2855625.4449507846
confmin1m126,C4H4N8O5,1.7480862160000001,119.05321713181449,7829.005475435925,26.711672358982266,4893.821434926435,688.1715919817524,0.1537333333333331,3367788.8877477488
confmin1m130,C4H1N9O9,1.840039848,110.6856161408006,8572.778413346292,33.02915072082262,5662.7313315542815,649.3147535718892,0.22808888888888906,3676894.9990919847
confmin1m131,C4H3N9O7,1.7818398519999998,113.7241091304697,8259.413861028137,30.076606290546916,5396.797525065667,677.9128253912387,0.638101612903226,3658558.258281711
confmin1m132,C4H5N9O5,1.727649884,122.89171173980827,7751.613128752006,25.997888837820085,4713.097056010072,713.128589278837,0.18342222222222235,3361044.2546867025
confmin1m133,C4H3N9O7,1.773785166,121.14289288320165,8243.104958471407,29.87607455895479,5422.457161421763,677.9128253912387,1.4524444444444442,3675953.2548623835
confmin1m134,C4H2N10O9,1.8231076980000003,127.28929742745039,8644.834970033433,33.40355244992949,5820.8466580501345,670.4172521344709,0.5692999999999999,3902396.0215860894
confmin1m135,C4N10O11,1.8856685359999998,121.73958524162255,8297.281917712313,31.386601643602035,4660.254968812649,645.9707028117303,0.5565483870967741,3010388.1774857654
confmin1m140,C4H4N10O7,1.7864048080000001,121.7266959558275,8259.252655281036,30.121834054383108,5231.672161797577,699.6838533746724,0.7257451612903227,3660516.5377595313
confmin1m141,C4H3N9O7,1.79180307,122.8687751559778,8303.793180186478,30.50288853471626,5428.42653766845,677.9128253912387,1.829990243902439,3679999.9715795983
confmin1m142,C4H1N9O9,1.8298430180000003,119.96547770475802,8550.218922534734,32.747859512847576,5691.812176678138,649.3147535718892,0.5977532258064515,3695777.6208772436
confmin1m143,C4H4N10O7,1.76565862,128.29968706392037,8200.652912117406,29.486981290054548,5253.284078205688,699.6838533746724,0.8886612903225805,3675638.0467107696
confmin1m145,C4H6N10O5,1.696207292,124.30612703584714,7633.768261035545,24.92789485599556,4543.326151460647,735.3519425036483,1.3035000000000008,3340943.7109042117
confmin1m147,C4H7N9O3,1.584784812,109.60001522944067,6842.178918114729,19.175592360002014,3646.371589528506,781.9970319023372,0.2160444444444444,2851451.760224299
confmin1m148,C4H8N10O3,1.6280983119999999,122.81949591032463,7007.738976704871,20.469148636696765,3476.288379760818,825.6491174728326,0.22964444444444443,2870194.4328305824
confmin1m149,C4H6N10O5,1.68803131,119.58750296735411,7601.236795438635,24.641353746014612,4526.11459677957,735.3519425036483,0.5529322580645162,3328287.1607359736
confmin1m15,C4H5N7O3,1.668954956,106.88574519379725,7058.215518826622,21.095192556065268,4075.660640227795,703.0667772825065,0.45434516129032276,2865461.591622113
